,is_slc
MAR02998,True
MAR02999,True
MAR03000,True
MAR03001,True
MAR03002,True
MAR03003,True
MAR02152,False
MAR02153,False
MAR02154,False
MAR02155,False
MAR02156,False
MAR02157,False
MAR02158,False
MAR02159,False
MAR02160,False
MAR02161,False
MAR02162,False
MAR02163,False
MAR02164,False
MAR02165,False
MAR02166,False
MAR02167,False
MAR02168,False
MAR02169,False
MAR02170,False
MAR02171,False
MAR02173,False
MAR02174,False
MAR02175,False
MAR02176,False
MAR02178,False
MAR02179,False
MAR02180,False
MAR02181,False
MAR02227,False
MAR02228,False
MAR02229,False
MAR02230,False
MAR02231,False
MAR02232,False
MAR02233,False
MAR02234,False
MAR02235,False
MAR02236,False
MAR02237,False
MAR02238,False
MAR02239,False
MAR02240,False
MAR02241,False
MAR02242,False
MAR02243,False
MAR02244,False
MAR02245,False
MAR02246,False
MAR02247,False
MAR02249,False
MAR02250,False
MAR02251,False
MAR02252,False
MAR02254,False
MAR02255,False
MAR02256,False
MAR02257,False
MAR02305,False
MAR02307,False
MAR02309,False
MAR02311,False
MAR02315,False
MAR02317,False
MAR02319,False
MAR02321,False
MAR02324,False
MAR02326,False
MAR02328,False
MAR02330,False
MAR02332,False
MAR02334,False
MAR02336,False
MAR02338,False
MAR02342,False
MAR02343,False
MAR02344,False
MAR02345,False
MAR02347,False
MAR02348,False
MAR02349,False
MAR02350,False
MAR02353,False
MAR02354,False
MAR02355,False
MAR02356,False
MAR02361,False
MAR02362,False
MAR02363,False
MAR02364,False
MAR02190,False
MAR02191,False
MAR02193,False
MAR02194,False
MAR02201,False
MAR02202,False
MAR02203,False
MAR02204,False
MAR02205,False
MAR02208,False
MAR02209,False
MAR02210,False
MAR02211,False
MAR02212,False
MAR02213,False
MAR02214,False
MAR02215,False
MAR02217,False
MAR02218,False
MAR02219,False
MAR02259,False
MAR02260,False
MAR02261,False
MAR02262,False
MAR02263,False
MAR02264,False
MAR02265,False
MAR02266,False
MAR02267,False
MAR02268,False
MAR02269,False
MAR02270,False
MAR02281,False
MAR02282,False
MAR02284,False
MAR02286,False
MAR02287,False
MAR02292,False
MAR02293,False
MAR02294,False
MAR02295,False
MAR02296,False
MAR02359,False
MAR02365,False
MAR02288,False
MAR02289,False
MAR00709,False
MAR02150,False
MAR02151,False
MAR02172,False
MAR02177,False
MAR02182,False
MAR02248,False
MAR02253,False
MAR02258,False
MAR02439,False
MAR02440,False
MAR02441,False
MAR02442,False
MAR02443,False
MAR02445,False
MAR02446,False
MAR02447,False
MAR02449,False
MAR02450,False
MAR02451,False
MAR02452,False
MAR02453,False
MAR02454,False
MAR02455,False
MAR02456,False
MAR02457,False
MAR02458,False
MAR02459,False
MAR02460,False
MAR02463,False
MAR02464,False
MAR02465,False
MAR02466,False
MAR02467,False
MAR02468,False
MAR02469,False
MAR02470,False
MAR06397,False
MAR06402,False
MAR06403,False
MAR06404,False
MAR02472,False
MAR02475,False
MAR02478,False
MAR02480,False
MAR02482,False
MAR02484,False
MAR02486,False
MAR02489,False
MAR02491,False
MAR02493,False
MAR02495,False
MAR02497,False
MAR02499,False
MAR02501,False
MAR02503,False
MAR02505,False
MAR02510,False
MAR02511,False
MAR02512,False
MAR02513,False
MAR02514,False
MAR02515,False
MAR02516,False
MAR02518,False
MAR02520,False
MAR02522,False
MAR02524,False
MAR02526,False
MAR02528,False
MAR02530,False
MAR02533,False
MAR02535,False
MAR02537,False
MAR02540,False
MAR02541,False
MAR02542,False
MAR02543,False
MAR02544,False
MAR02545,False
MAR02546,False
MAR02548,False
MAR02549,False
MAR02550,False
MAR02551,False
MAR02552,False
MAR02553,False
MAR02555,False
MAR02556,False
MAR02557,False
MAR02558,False
MAR02559,False
MAR02560,False
MAR02561,False
MAR02562,False
MAR02563,False
MAR02565,False
MAR02566,False
MAR02567,False
MAR02568,False
MAR02570,False
MAR02571,False
MAR02572,False
MAR02573,False
MAR02574,False
MAR02576,False
MAR02577,False
MAR02578,False
MAR02579,False
MAR02580,False
MAR02581,False
MAR02582,False
MAR02583,False
MAR02584,False
MAR02586,False
MAR02587,False
MAR02368,False
MAR02371,False
MAR02374,False
MAR02376,False
MAR02378,False
MAR02380,False
MAR02383,False
MAR02387,False
MAR02389,False
MAR02391,False
MAR02393,False
MAR02395,False
MAR02397,False
MAR02399,False
MAR02401,False
MAR02403,False
MAR02408,False
MAR02409,False
MAR02410,False
MAR02411,False
MAR02412,False
MAR02415,False
MAR02417,False
MAR02419,False
MAR02421,False
MAR02423,False
MAR02426,False
MAR02428,False
MAR02430,False
MAR02433,False
MAR02434,False
MAR02435,False
MAR02436,False
MAR03452,False
MAR03453,False
MAR03454,False
MAR03455,False
MAR03456,False
MAR03457,False
MAR03458,False
MAR00931,False
MAR00932,False
MAR00933,False
MAR00934,False
MAR00935,False
MAR00936,False
MAR00937,False
MAR00938,False
MAR00939,False
MAR00940,False
MAR00942,False
MAR00943,False
MAR00944,False
MAR00945,False
MAR00946,False
MAR00947,False
MAR00948,False
MAR00949,False
MAR00950,False
MAR00951,False
MAR00953,False
MAR00954,False
MAR00955,False
MAR00956,False
MAR00957,False
MAR00958,False
MAR00959,False
MAR00960,False
MAR00961,False
MAR00963,False
MAR00964,False
MAR00967,False
MAR00969,False
MAR00971,False
MAR00973,False
MAR00976,False
MAR00979,False
MAR00980,False
MAR00981,False
MAR00983,False
MAR00985,False
MAR00986,False
MAR00987,False
MAR00991,False
MAR00992,False
MAR00993,False
MAR00994,False
MAR00995,False
MAR00996,False
MAR00997,False
MAR00998,False
MAR00999,False
MAR01000,False
MAR01002,False
MAR01003,False
MAR01004,False
MAR01006,False
MAR01007,False
MAR01008,False
MAR01010,False
MAR01011,False
MAR01013,False
MAR01014,False
MAR01015,False
MAR01016,False
MAR01017,False
MAR01018,False
MAR01020,False
MAR01021,False
MAR01022,False
MAR01023,False
MAR01025,False
MAR01026,False
MAR01027,False
MAR01028,False
MAR01029,False
MAR01030,False
MAR01033,False
MAR01034,False
MAR01037,False
MAR01039,False
MAR01040,False
MAR01041,False
MAR01042,False
MAR01043,False
MAR01045,False
MAR01048,False
MAR01049,False
MAR01050,False
MAR01054,False
MAR01055,False
MAR01057,False
MAR01058,False
MAR01059,False
MAR01061,False
MAR01062,False
MAR01063,False
MAR01064,False
MAR01065,True
MAR01066,True
MAR01067,True
MAR01068,True
MAR01069,True
MAR01070,True
