gene,comparison,log2fc,p_value,abs_log2fc
SLC29A3,Fatal_vs_Healthy,0.5006658573892786,5.420132830819629e-34,0.5006658573892786
SLC25A19,Fatal_vs_Healthy,-0.47047216238541717,6.484371869888858e-34,0.47047216238541717
SLC4A1,Survivor_vs_Healthy,2.702398830215853,7.575594046165279e-34,2.702398830215853
SLC26A8,Survivor_vs_Healthy,1.8130416817368342,1.024722832033158e-33,1.8130416817368342
SLC39A14,Fatal_vs_Healthy,2.170808462507184,1.062829405700127e-33,2.170808462507184
SLC26A6,Survivor_vs_Healthy,0.6236383505540807,1.1768599965488024e-33,0.6236383505540807
SLC12A2,Survivor_vs_Healthy,0.5706256538562475,1.2123851247621634e-33,0.5706256538562475
SLC24A1,Survivor_vs_Healthy,1.4466875936572814,1.2458793031651272e-33,1.4466875936572814
SLC22A4,Fatal_vs_Healthy,-0.4264853419697604,1.4066334977822515e-33,0.4264853419697604
SLC26A2,Survivor_vs_Healthy,0.5606913607863377,2.3288231686717745e-33,0.5606913607863377
SLC1A2,Survivor_vs_Healthy,1.6625898371184684,2.611341572599905e-33,1.6625898371184684
SLC33A1,Fatal_vs_Healthy,0.5569400689745041,2.700185164676526e-33,0.5569400689745041
SLC2A13,Survivor_vs_Healthy,0.8551907806228222,2.8646946124863264e-33,0.8551907806228222
SLC35A2,Survivor_vs_Healthy,0.49775129284376074,3.22416302841774e-33,0.49775129284376074
SLC25A22,Survivor_vs_Healthy,0.7693650543210685,3.22416302841774e-33,0.7693650543210685
SLC6A4,Survivor_vs_Healthy,2.1708759103044035,4.1356313998361984e-33,2.1708759103044035
SLC24A3,Fatal_vs_Healthy,2.0708437656461607,4.4256462212672333e-33,2.0708437656461607
SLC43A1,Survivor_vs_Healthy,0.8653454921172443,5.481898945846189e-33,0.8653454921172443
SLC36A3,Fatal_vs_Healthy,17.962186231523667,6.165205960357313e-33,17.962186231523667
SLC39A5,Survivor_vs_Healthy,18.723628134058785,6.442180031386102e-33,18.723628134058785
SLC26A4,Fatal_vs_Healthy,2.1608734716328972,1.1907737671259927e-32,2.1608734716328972
SLC1A2,Fatal_vs_Healthy,1.6363411729450814,1.764238480682418e-32,1.6363411729450814
SLC2A9,Fatal_vs_Healthy,-0.501960959227132,1.770912143261014e-32,0.501960959227132
SLC20A2,Fatal_vs_Healthy,0.5440157731496528,3.3615304010866274e-32,0.5440157731496528
SLC24A4,Survivor_vs_Healthy,0.19547778866872292,3.8870696883933256e-32,0.19547778866872292
SLC25A10,Fatal_vs_Healthy,1.097552883769483,4.6263628740513384e-32,1.097552883769483
SLC17A5,Survivor_vs_Healthy,0.25764174222109654,7.568076513352708e-32,0.25764174222109654
SLC35A2,Fatal_vs_Healthy,0.4327069178557149,1.0700816170775375e-31,0.4327069178557149
SLC6A8,Fatal_vs_Healthy,-0.9393408246898464,1.38674668535983e-31,0.9393408246898464
SLC18A2,Survivor_vs_Healthy,1.7935541074649213,1.5339652158140497e-31,1.7935541074649213
SLC22A4,Survivor_vs_Healthy,-0.34765275481128527,2.014859924890284e-31,0.34765275481128527
SLC5A2,Survivor_vs_Healthy,17.810665456189586,2.346012715576292e-31,17.810665456189586
SLC38A5,Fatal_vs_Healthy,1.0410163557337029,2.8420113476852e-31,1.0410163557337029
SLC2A4,Survivor_vs_Healthy,17.198398988575015,7.57334443190742e-31,17.198398988575015
SLC2A8,Survivor_vs_Healthy,-0.6432362517824587,1.2143927255828937e-30,0.6432362517824587
SLC6A12,Survivor_vs_Healthy,1.0639570348403045,1.3594087895275151e-30,1.0639570348403045
SLC19A2,Fatal_vs_Healthy,0.3856179936511424,1.4392057892718247e-30,0.3856179936511424
SLC25A33,Fatal_vs_Healthy,-0.13269749874567335,2.603552064023899e-30,0.13269749874567335
SLC29A2,Survivor_vs_Healthy,1.5611547171412865,4.093333986193594e-30,1.5611547171412865
SLC12A4,Fatal_vs_Healthy,-0.49375941843940063,4.1989571941600174e-30,0.49375941843940063
SLC25A2,Survivor_vs_Healthy,17.79271854698182,7.56031269048484e-30,17.79271854698182
SLC2A12,Fatal_vs_Healthy,18.652843095132187,8.078272334770544e-30,18.652843095132187
SLC5A5,Survivor_vs_Healthy,17.844806890999216,8.137958067140925e-30,17.844806890999216
SLC16A13,Fatal_vs_Healthy,1.6234782782182975,9.614766694561729e-30,1.6234782782182975
SLC1A4,Fatal_vs_Healthy,0.37671072858535254,1.6040621934796832e-29,0.37671072858535254
SLC25A37,Fatal_vs_Healthy,0.0630837598975432,4.225873945609926e-29,0.0630837598975432
SLC25A39,Survivor_vs_Healthy,-0.1458421630194285,4.7184059255252255e-29,0.1458421630194285
SLC2A10,Fatal_vs_Healthy,16.611946980587366,7.487701725119575e-29,16.611946980587366
SLC16A10,Fatal_vs_Healthy,0.6377118219450876,9.906042006961137e-29,0.6377118219450876
SLC25A26,Survivor_vs_Healthy,-0.19790605773673384,1.4135746769718646e-28,0.19790605773673384
SLC4A10,Survivor_vs_Healthy,-19.342883914531246,2.328804611314321e-28,19.342883914531246
SLC9A3,Survivor_vs_Healthy,-0.5328807404513037,3.286950546649286e-28,0.5328807404513037
SLC40A1,Fatal_vs_Healthy,0.5200363344209636,1.1686931854719306e-27,0.5200363344209636
SLC5A3,Fatal_vs_Healthy,0.15249842827761648,3.1433778114631896e-27,0.15249842827761648
SLC25A28,Fatal_vs_Healthy,0.1417225713638254,3.993786967433318e-27,0.1417225713638254
SLC24A1,Fatal_vs_Healthy,1.0760414424211602,5.061840584527536e-27,1.0760414424211602
SLC12A4,Survivor_vs_Healthy,-0.4049042141495048,2.46438734130101e-26,0.4049042141495048
SLC22A15,Survivor_vs_Healthy,0.24440675977599113,2.665589082596844e-26,0.24440675977599113
SLC9A3,Fatal_vs_Healthy,-0.479524316848088,3.2006124725395446e-26,0.479524316848088
SLC39A10,Fatal_vs_Healthy,-0.2289150242922179,4.9846434572290204e-26,0.2289150242922179
SLC15A2,Survivor_vs_Healthy,0.6373481463367116,5.250741862655742e-26,0.6373481463367116
SLC8B1,Fatal_vs_Healthy,-0.13829468547740423,5.676507825095247e-26,0.13829468547740423
SLC19A2,Survivor_vs_Healthy,0.3027447344910484,5.676507825095247e-26,0.3027447344910484
SLC26A1,Fatal_vs_Healthy,-2.036546780217568,8.430765526075939e-26,2.036546780217568
SLC3A1,Survivor_vs_Healthy,1.1878273375904562,1.565366225874576e-25,1.1878273375904562
SLC40A1,Survivor_vs_Healthy,0.45010465955237844,2.601983179622478e-25,0.45010465955237844
SLC4A8,Survivor_vs_Healthy,-0.7307843795708948,4.566382440972834e-25,0.7307843795708948
SLC20A1,Fatal_vs_Healthy,0.1001098466180388,4.929298925014416e-25,0.1001098466180388
SLC25A38,Survivor_vs_Healthy,-0.29783557594979876,5.186975812321323e-25,0.29783557594979876
SLC27A5,Survivor_vs_Healthy,0.40927913429157714,6.042821282584004e-25,0.40927913429157714
SLC6A4,Fatal_vs_Healthy,-18.267923175872145,1.6779094718909406e-24,18.267923175872145
SLC16A4,Fatal_vs_Healthy,0.6658414744477876,3.905251002041071e-24,0.6658414744477876
SLC29A3,Survivor_vs_Healthy,0.25995950453055877,4.315727989765463e-24,0.25995950453055877
SLC22A1,Survivor_vs_Healthy,-1.5237515311038494,4.5363240154137314e-24,1.5237515311038494
SLC7A6,Fatal_vs_Healthy,0.20339530392866736,7.845517882675069e-24,0.20339530392866736
SLC2A9,Survivor_vs_Healthy,-0.295433492812887,8.042754689987704e-24,0.295433492812887
SLC44A3,Survivor_vs_Healthy,17.697047214355315,1.3527560145727668e-23,17.697047214355315
SLC34A3,Fatal_vs_Healthy,15.81754492051219,1.4071015487494114e-23,15.81754492051219
SLC41A1,Survivor_vs_Healthy,0.4867010039070506,7.699681379548206e-23,0.4867010039070506
SLC39A2,Fatal_vs_Healthy,16.1299441352297,9.211890409790593e-23,16.1299441352297
SLC22A7,Fatal_vs_Healthy,16.51065126516659,1.1319750578189089e-22,16.51065126516659
SLC29A4,Fatal_vs_Healthy,1.613409040479744,1.2240106973730075e-22,1.613409040479744
SLC1A6,Survivor_vs_Healthy,16.7141133432451,1.331020409739649e-22,16.7141133432451
SLC35D2,Survivor_vs_Healthy,-0.11141250246355919,1.8832359014301936e-22,0.11141250246355919
SLC4A7,Fatal_vs_Healthy,0.21355903099457593,2.5126263129703426e-22,0.21355903099457593
SLC13A4,Survivor_vs_Healthy,16.036229574718032,2.7721395346863636e-22,16.036229574718032
SLC44A3,Fatal_vs_Healthy,17.070697222508286,3.313145610380363e-22,17.070697222508286
